Day,Order sumary,,, Totals 
Sunday,Item,Quantity,Total,"$1,683.75 "
,501,85,2022-2-6,
,502,1,2022-2-6,
,503,106,2022-2-6,
,504,81,2022-2-6,
,505,48,2022-2-6,
,506,12,2022-2-6,
,507,50,2022-2-6,
,508,3,2022-2-6,
,509,3,2022-2-6,
,510,23,2022-2-6,
,511,92,2022-2-6,
,512,101,2022-2-6,
,513,10,2022-2-6,
,514,95,2022-2-6,
,515,76,2022-2-6,
,516,51,2022-2-6,
,517,43,2022-2-6,
,518,40,2022-2-6,
,519,12,2022-2-6,
,,,,
Monday,Item,Quantity,Total,"$1,314.25 "
,501,72,2022-2-7,
,502,19,2022-2-7,
,503,48,2022-2-7,
,504,56,2022-2-7,
,505,76,2022-2-7,
,506,26,2022-2-7,
,507,15,2022-2-7,
,508,71,2022-2-7,
,509,70,2022-2-7,
,510,32,2022-2-7,
,511,79,2022-2-7,
,512,82,2022-2-7,
,513,48,2022-2-7,
,514,54,2022-2-7,
,515,16,2022-2-7,
,516,78,2022-2-7,
,517,8,2022-2-7,
,518,12,2022-2-7,
,519,36,2022-2-7,
,,,,
Tuesday,Item,Quantity,Total,"$1,508.75 "
,501,86,2022-2-8,
,502,108,2022-2-8,
,503,41,2022-2-8,
,504,46,2022-2-8,
,505,21,2022-2-8,
,506,11,2022-2-8,
,507,65,2022-2-8,
,508,3,2022-2-8,
,509,92,2022-2-8,
,510,69,2022-2-8,
,511,26,2022-2-8,
,512,10,2022-2-8,
,513,4,2022-2-8,
,514,47,2022-2-8,
,515,65,2022-2-8,
,516,97,2022-2-8,
,517,101,2022-2-8,
,518,97,2022-2-8,
,519,64,2022-2-8,
,,,,
Wednesday,Item,Quantity,Total,"$1,818.30 "
,501,107,2022-2-9,
,502,97,2022-2-9,
,503,71,2022-2-9,
,504,100,2022-2-9,
,505,49,2022-2-9,
,506,1,2022-2-9,
,507,40,2022-2-9,
,508,30,2022-2-9,
,509,24,2022-2-9,
,510,82,2022-2-9,
,511,53,2022-2-9,
,512,23,2022-2-9,
,513,86,2022-2-9,
,514,25,2022-2-9,
,515,79,2022-2-9,
,516,102,2022-2-9,
,517,3,2022-2-9,
,518,29,2022-2-9,
,519,18,2022-2-9,
,,,,
Thursday,Item,Quantity,Total,"$2,319.10 "
,501,42,2022-2-10,
,502,54,2022-2-10,
,503,83,2022-2-10,
,504,78,2022-2-10,
,505,20,2022-2-10,
,506,28,2022-2-10,
,507,88,2022-2-10,
,508,85,2022-2-10,
,509,18,2022-2-10,
,510,83,2022-2-10,
,511,83,2022-2-10,
,512,63,2022-2-10,
,513,90,2022-2-10,
,514,47,2022-2-10,
,515,67,2022-2-10,
,516,5,2022-2-10,
,517,108,2022-2-10,
,518,59,2022-2-10,
,519,67,2022-2-10,
,,,,
Friday,Item,Quantity,Total,"$2,753.10 "
,501,56,2022-2-11,
,502,88,2022-2-11,
,503,94,2022-2-11,
,504,94,2022-2-11,
,505,48,2022-2-11,
,506,8,2022-2-11,
,507,70,2022-2-11,
,508,34,2022-2-11,
,509,40,2022-2-11,
,510,15,2022-2-11,
,511,42,2022-2-11,
,512,2,2022-2-11,
,513,94,2022-2-11,
,514,86,2022-2-11,
,515,59,2022-2-11,
,516,108,2022-2-11,
,517,69,2022-2-11,
,518,101,2022-2-11,
,519,33,2022-2-11,
,,,,
Saturday,Item,Quantity,Total,"$3,808.10 "
,501,216,2022-2-12,
,502,302,2022-2-12,
,503,332,2022-2-12,
,504,363,2022-2-12,
,505,323,2022-2-12,
,506,434,2022-2-12,
,507,384,2022-2-12,
,508,442,2022-2-12,
,509,417,2022-2-12,
,510,212,2022-2-12,
,511,334,2022-2-12,
,512,226,2022-2-12,
,513,291,2022-2-12,
,514,279,2022-2-12,
,515,252,2022-2-12,
,516,236,2022-2-12,
,517,395,2022-2-12,
,518,319,2022-2-12,
,519,251,2022-2-12,
